company,item,calories,calories_from_fat,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbs_g,fiber_g,sugars_g,protein_g,weight_watchers_pnts,serving_size_g,all_nutrients_zero,macro_calories,macro_calorie_gap,pct_protein_cal,pct_carb_cal,pct_fat_cal,protein_g_per_100kcal,carbs_g_per_100kcal,total_fat_g_per_100kcal,fiber_g_per_100kcal,sodium_mg_per_100kcal,healthy_rule_v1,category
McDonald’s,Angus Deluxe,750.0,350.0,39.0,16.0,2.0,135.0,1700.0,61.0,4.0,10.0,40.0,736.0,,0,755.0,-5.0,21.19,32.32,46.49,5.333,8.133,5.2,0.533,226.667,0,other
McDonald’s,Angus Mushroom & Swiss,770.0,360.0,40.0,17.0,2.0,135.0,1170.0,59.0,4.0,8.0,44.0,751.0,,0,772.0,-2.0,22.8,30.57,46.63,5.714,7.662,5.195,0.519,151.948,0,other
McDonald’s,Filet-O-Fish®,380.0,170.0,18.0,3.5,0.0,40.0,640.0,38.0,2.0,5.0,15.0,373.5,,0,374.0,6.0,16.04,40.64,43.32,3.947,10.0,4.737,0.526,168.421,0,fish
McDonald’s,McChicken ®,360.0,150.0,16.0,3.0,0.0,35.0,830.0,40.0,2.0,5.0,14.0,354.0,,0,360.0,0.0,15.56,44.44,40.0,3.889,11.111,4.444,0.556,230.556,0,chicken
McDonald’s,McRib ®,500.0,240.0,26.0,10.0,0.0,70.0,980.0,44.0,3.0,11.0,22.0,499.0,,0,498.0,2.0,17.67,35.34,46.99,4.4,8.8,5.2,0.6,196.0,0,other
McDonald’s,Premium Grilled Chicken Classic Sandwich,360.0,80.0,9.0,2.0,0.0,65.0,820.0,41.0,4.0,8.0,27.0,343.0,,0,353.0,7.0,30.59,46.46,22.95,7.5,11.389,2.5,1.111,227.778,0,sandwich
McDonald’s,Premium Crispy Chicken Classic Sandwich,510.0,200.0,22.0,3.5,0.0,45.0,990.0,56.0,3.0,10.0,24.0,499.5,,0,518.0,-8.0,18.53,43.24,38.22,4.706,10.98,4.314,0.588,194.118,0,sandwich
McDonald’s,Premium Grilled Chicken Club Sandwich,460.0,150.0,17.0,6.0,0.0,90.0,1040.0,43.0,4.0,9.0,35.0,440.0,,0,465.0,-5.0,30.11,36.99,32.9,7.609,9.348,3.696,0.87,226.087,0,sandwich
McDonald’s,Premium Crispy Chicken Club Sandwich,620.0,260.0,29.0,7.0,0.0,70.0,1200.0,57.0,3.0,11.0,31.0,607.0,,0,613.0,7.0,20.23,37.19,42.58,5.0,9.194,4.677,0.484,193.548,0,sandwich
McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,380.0,90.0,10.0,3.0,0.0,75.0,1000.0,41.0,4.0,9.0,31.0,361.0,,0,378.0,2.0,32.8,43.39,23.81,8.158,10.789,2.632,1.053,263.158,0,sandwich
